actor,awards,country,director,genre,language,metascore,plot,poster,rated,released,response,runtime,title,type,writer,year,imdb_id,imdb_votes,rating_imdb,rating_rotten,rating_metacritic
"Juan Pablo Varsky, Guillermo Barros Schelotto, Boca Juniors, Lisandro Magallán",N/A,Argentina,N/A,"Documentary, Sport",Spanish,N/A,"A closer look of Boca Juniors's players, fans and staff to the club's day-to-day, in order to win the Argentinean League, the Superliga, again.",https://m.media-amazon.com/images/M/MV5BN2UzNzA1Y2YtZTFmMy00ZDQwLWE5ZmUtYTJmZWE2YTJjZDQ1XkEyXkFqcGdeQXVyNDUyOTk5Njc@._V1_SX300.jpg,N/A,14 Sep 2018,True,45 min,Boca Juniors Confidential,series,N/A,2018–,tt8893546,148,6.3/10,,
"Constance Nunes, Shawn Pilot, Michael 'Caveman' Pyle, Tony Quinones",N/A,N/A,N/A,Reality-TV,N/A,N/A,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.",https://m.media-amazon.com/images/M/MV5BZGM5ZjlhMDYtMzRlNy00Yzk2LWJhYmQtNzgyNDlmNDU1MGJiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,TV-PG,14 Sep 2018,True,40 min,Car Masters: Rust to Riches,series,N/A,2018–,tt8893550,"7,031",8.8/10,,
"Norm MacDonald, Adam Eget",N/A,USA,N/A,"Comedy, Talk-Show",N/A,N/A,"Based on his podcast, comedian and former Saturday Night Live (1975) alumni Norm Macdonald and his sidekick Adam Eget sit down and chat with celebrity guests about their life, career and views in a somewhat unconventional and often irreverent way.",https://m.media-amazon.com/images/M/MV5BMDFmNWNmNmItNDBhOS00MmNmLThlNzktM2ZmNjliZjMxMjU4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,N/A,14 Sep 2018,True,30 min,Norm Macdonald Has a Show,series,Norm MacDonald,2018–,tt8139862,"2,776",8.7/10,,
"Lydia Wilson, Nick Blood, Madeline Brewer, Mark Ashworth",1 win & 4 nominations.,USA,Takashi Doscher,"Drama, Fantasy, Mystery",English,N/A,"When a young hiker stumbles onto an isolated farm after losing her way on the Appalachian Trail, she is taken in by a strange yet beautiful couple desperate to protect a secret deep in the mountains.",https://m.media-amazon.com/images/M/MV5BNTJiMWMxYzgtZGRiMS00MmE5LTlmMGUtNjcxZDQzMWNiNDAzXkEyXkFqcGdeQXVyMjEzMzkzNjI@._V1_SX300.jpg,Not Rated,08 Jan 2019,True,96 min,Still,movie,Takashi Doscher,2018,tt6096308,839,5.2/10,,
"Toby Kebbell, Marwan Kenzari, Hannah Ware, Waleed Zuaiter",1 win.,"Israel, USA",Ariel Vromen,"Drama, Thriller","English, Hebrew, Arabic, Italian",N/A,Based on NYT bestselling book 'The Angel: The Egyptian Spy Who Saved Israel' by Uri Bar-Joseph.,https://m.media-amazon.com/images/M/MV5BMTEzOTY5ODA2MDReQTJeQWpwZ15BbWU4MDI5NDkyMTYz._V1_SX300.jpg,TV-MA,14 Sep 2018,True,114 min,The Angel,movie,"David Arata, Uri Bar-Joseph (based on the novel by)",2018,tt5968274,"11,323",6.6/10,75%,
"Ben Mendelsohn, Connie Britton, Charlie Tahan, Edie Falco",N/A,USA,Nicole Holofcener,"Comedy, Drama",English,71,"After leaving his wife and his job to find happiness, Anders befriends a drug-addicted teen, sending him down a path of reckless and shameful behavior.",https://m.media-amazon.com/images/M/MV5BMTg0NjY4MjIxM15BMl5BanBnXkFtZTgwMTk2MjIyNjM@._V1_SX300.jpg,TV-MA,14 Sep 2018,True,98 min,The Land of Steady Habits,movie,"Nicole Holofcener, Ted Thompson (based on the novel by)",2018,tt6485928,"5,955",6.2/10,83%,71/100
"Kun Chen, Hong Yuan, Ni Ni, Ou Wang",8 wins & 10 nominations.,China,N/A,"Drama, History, Romance",Mandarin,N/A,"The story of power, desire, lust and love among people of different kingdoms in ancient China. No matter who you are, you have to rise from the mud to become The Great Phoenix.",https://m.media-amazon.com/images/M/MV5BNGI5MDA2YTUtNTliNC00YzM5LWI3NWItODk1OTA2MTZhYzI4XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,TV-14,14 Sep 2018,True,60 min,The Rise of Phoenixes,series,N/A,2018,tt7052634,"1,073",8.6/10,,
"Jerry G. Angelo, Paul Logan, Isaac C. Singleton Jr., Victoria Clare",N/A,USA,Jerry G. Angelo,"Action, Drama, Romance, War",English,N/A,"Rusty Wittenburg is a Navy SEAL struggling to balance his family life and his job. He fights daily to maintain the line between reality and the nightmares his PTSD conjures up for him. Dedicated to his team and his mission, he is willing to give the ultimate sacrifice for his fellow brothers and teammates.",https://m.media-amazon.com/images/M/MV5BMDQ1NDgwYjctNThjOC00NTA1LThhNWEtMTAyZGFhMzIyODJmXkEyXkFqcGdeQXVyMTM4NjQxNTU@._V1_SX300.jpg,N/A,01 Aug 2019,True,105 min,American Warfighter,movie,"Jerry G. Angelo (original screenplay), Jerry G. Angelo, Kerry Patton (scene contributing writer)",2018,tt4524418,"1,149",4.2/10,,
"Emma Bell, Nick Ballard, Bradley Bundlie, Gail O'Grady",2 nominations.,USA,Michael Feifer,Thriller,English,N/A,Jamie's (Emma Bell) marriage falls apart when she finds out her husband has been cheating on her. She heads home to her family with her young son in order to figure out what to do next. She...,https://m.media-amazon.com/images/M/MV5BNDA5NjEwNjMtY2YxMi00MmY4LWJkMWQtZmNlYmQ0MTI5N2IxXkEyXkFqcGdeQXVyNzYxMjI1Mzg@._V1_SX300.jpg,TV-14,13 Sep 2019,True,87 min,Deviant Love,movie,Leah McKendrick (Written by),2019,tt10255320,292,3.5/10,8%,
"Isaac Jay, Jay Lee, Ashleigh Morghan, Bevin Bru",1 win.,USA,Elle Callahan,"Horror, Mystery, Thriller",English,48,A group of college students on a weekend getaway accidentally summon a supernatural entity intent on using them for its deadly ritual.,https://m.media-amazon.com/images/M/MV5BMGU2NWU4MTktNTMxNS00NTI1LWI4YzItOGMzZTQ1ZDI3NTkxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,N/A,24 Sep 2018,True,90 min,Head Count,movie,"Elle Callahan (story), Michael Nader",2018,tt7350614,"3,084",5.4/10,,48/100
"Chelsea Handler, Melina Abdullah, Jody David Armour, W. Kamau Bell",N/A,USA,Alex Stapleton,Documentary,English,N/A,Chelsea Handler explores explores how white privilege impacts American culture and the ways it's benefited her life and career.,https://m.media-amazon.com/images/M/MV5BMWVlY2RiNzEtYzE0Mi00YWQyLWJlNWQtMTdiZGQ4NjM4ZTg1XkEyXkFqcGdeQXVyNTE4NTE0NjU@._V1_SX300.jpg,TV-MA,13 Sep 2019,True,64 min,"Hello, Privilege. It's Me, Chelsea",movie,N/A,2019,tt10847138,"1,705",4.3/10,,
"Tasuku Hatanaka, Sayaka Senbongi, Maaya Uchida, Toshiki Masuda",N/A,Japan,Tetsurô Araki,"Animation, Action, Adventure, Fantasy, Horror",Japanese,N/A,The film chronicles the attempt of the team to take back Unato castle.,https://m.media-amazon.com/images/M/MV5BYWE2NTMzODktODM2ZS00MzIxLTg4YjEtNzUzZDY1N2ExYTdhXkEyXkFqcGdeQXVyNTEyMDY1MjI@._V1_SX300.jpg,N/A,10 May 2019,True,82 min,Kabaneri of the Iron Fortress: The Battle of Unato,movie,Tetsurô Araki (screenplay),2019,tt10253816,610,6.7/10,,
"Victoire Du Bois, Lucie Boujenah, Tiphaine Daviot, Ralph Amoussou",1 nomination.,France,N/A,"Drama, Horror",French,N/A,"When a famous horror writer goes back to her hometown, she finds out that the evil spirit that plagues her dreams is also there in real life.",https://m.media-amazon.com/images/M/MV5BODQ4NGIwZWYtMWNhOC00MzFjLTk5ZDYtOGM1MzM3NjVlZGUxXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_SX300.jpg,TV-MA,13 Sep 2019,True,50 min,Marianne,series,N/A,2019,tt10875696,"10,968",7.5/10,,
"Irene Azuela, Juan Manuel Bernal, Osvaldo Benavides, Antonio de la Vega",N/A,Mexico,N/A,Drama,N/A,N/A,"After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets.",https://m.media-amazon.com/images/M/MV5BYjI0MWQ2ZjctYjczZS00YjcyLWFkMTEtMWEwOWU3ODdkY2EzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,TV-MA,N/A,True,43 min,Monarca,series,Diego Gutierrez,2019–,tt8655736,"1,197",8.0/10,,
"Qi Shu, Godfrey Gao, Han Lu, Sen Wang",1 nomination.,China,Hua-Tao Teng,"Action, Sci-Fi","Mandarin, English",N/A,"In 2035, aliens have wiped out mega cities around the globe to get their main source of energy, Xianteng. Will Shanghai be able to defend itself and maybe even launch a counterattack?",https://m.media-amazon.com/images/M/MV5BN2NkZmFiYzMtOGUwOC00NmRkLWFhOGQtOTQ0Zjc3NjA0MTI3XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,N/A,09 Aug 2019,True,107 min,Shanghai Fortress,movie,"Jinglong Han (screenplay by), Jiang Nan (original story and screenplay by)",2019,tt6628322,"1,712",4.3/10,25%,
"Ava Michelle, Griffin Gluck, Sabrina Carpenter, Paris Berelc",1 win.,USA,Nzingha Stewart,"Comedy, Drama, Family, Romance",English,N/A,"Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand tall.",https://m.media-amazon.com/images/M/MV5BMDI3YmEwOTItNDEyNC00MGNlLWJiMjEtMzc0MTJjZmM1NGEzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,TV-PG,13 Sep 2019,True,101 min,Tall Girl,movie,Sam Wolfson,2019,tt9252508,"16,403",5.2/10,19%,
"Reiley McClendon, Cassidy Gifford, Brianne Howey, Olivia Draguicevich",1 win & 1 nomination.,USA,"Mark Dennis, Ben Foster","Action, Adventure, Sci-Fi",English,46,A professor enters a cave and goes missing. Some of his students come looking for him and get trapped in the cave as well.,https://m.media-amazon.com/images/M/MV5BMGE0ZGYwZjItMmQ2MC00MjMzLTk1NWEtM2ZlNDE5ZWVmOTAyL2ltYWdlXkEyXkFqcGdeQXVyMjA1NjczMDE@._V1_SX300.jpg,Not Rated,02 Nov 2018,True,87 min,Time Trap,movie,Mark Dennis,2017,tt4815122,"25,156",6.3/10,58%,46/100
"Ashley Walters, Kane Robinson, Shone Romulus, Micheal Ward",3 wins & 9 nominations.,UK,N/A,"Crime, Drama, Thriller",English,N/A,Two London drug dealers ply their lucrative trade at a public housing estate in East London.,https://m.media-amazon.com/images/M/MV5BMjI0MjUzNzc0M15BMl5BanBnXkFtZTgwMjk3NDAzNzE@._V1_SX300.jpg,Not Rated,31 Oct 2011,True,60 min,Top Boy,series,Ronan Bennett,2011–,tt1830379,"11,760",8.4/10,,
"Kaitlyn Dever, Toni Collette, Merritt Wever, Blake Ellis",Nominated for 4 Golden Globes. Another 5 wins & 32 nominations.,USA,N/A,"Crime, Drama",English,N/A,"Based on the true story of Marie, a teenager who was charged with lying about having been raped, and the two female detectives who followed the path to the truth.",https://m.media-amazon.com/images/M/MV5BN2Q3OWQ1Y2UtN2E3OS00ODA2LWE1Y2EtYmY5OWMzNWYzMDZmXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg,TV-MA,13 Sep 2019,True,48 min,Unbelievable,series,"Susannah Grant, Michael Chabon, Ayelet Waldman",2019,tt7909970,"64,943",8.4/10,,
"Donna Howard, John Seago, Brigitte Amiri, Troy Newman",N/A,USA,"Ricki Stern, Anne Sundberg",Documentary,English,70,"A deep historical look at one of the most controversial issues of our time, highlighting the abortion debate from various points along the ideological spectrum in a winding story of abortion in America.",https://m.media-amazon.com/images/M/MV5BOTg1NzE4NDcxMl5BMl5BanBnXkFtZTgwNzE2MzEzNjM@._V1_SX300.jpg,N/A,13 Sep 2018,True,99 min,Reversing Roe,movie,N/A,2018,tt8948614,857,7.4/10,88%,70/100
"Antoine Fuqua, Shane Moore, Edward Anderson, Dondrub Dorje",N/A,USA,Ben Wallis,Documentary,English,N/A,"Disneynature's international team of filmmakers travel to the mountains of China to find and film the elusive snow leopard on the highest plateau on Earth, while enduring brutal weather and unsettled terrain.",https://m.media-amazon.com/images/M/MV5BNTFjMDY5ODUtOWYxYi00ZjYxLWFmYzMtN2JmMmQzZWM2MDU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,G,14 Sep 2017,True,78 min,Ghost of the Mountains,movie,Ben Wallis,2017,tt7332500,168,6.7/10,,
"Monica Bhargava, Jessica Zitter",Nominated for 1 Oscar. Another 2 wins & 4 nominations.,USA,Dan Krauss,"Documentary, Short",English,N/A,"Witness the wrenching emotions that accompany end-of-life decisions as doctors, patients and families in a hospital ICU face harrowing choices.",https://m.media-amazon.com/images/M/MV5BMjM5OTc3NzMyOF5BMl5BanBnXkFtZTgwMzU1MDU5OTE@._V1_SX300.jpg,TV-PG,16 Sep 2016,True,24 min,Extremis,movie,N/A,2016,tt5538078,"2,103",7.3/10,,
"Natalie Martinez, Kate Bosworth, Ronald Peet, Sibylla Deen",1 win.,USA,N/A,"Adventure, Drama, Mystery, Sci-Fi",English,N/A,"When ten people wake up on a treacherous island with no memory of who they are and how they got there, they set off on a trek to try to get back home, only to discover the world is not as it seems.",https://m.media-amazon.com/images/M/MV5BZWM2MWUzZDQtZjljNC00ZmI5LTlhOWItMDdlMzA1MTcwZDM3XkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_SX300.jpg,TV-MA,N/A,True,40 min,The I-Land,series,Anthony Salter,2019,tt9067020,"13,978",4.5/10,,
Emma Stone,N/A,USA,N/A,Documentary,English,N/A,"Ever wonder what's happening inside your head? From dreaming to anxiety disorders, discover how your brain works with this illuminating series.",https://m.media-amazon.com/images/M/MV5BNGE4YWIxNzEtNjI2NS00MmIxLWJmMDMtMDdjODM1YWRjYzcwXkEyXkFqcGdeQXVyNjUxMjc1OTM@._V1_SX300.jpg,N/A,12 Sep 2019,True,20 min,"The Mind, Explained",series,N/A,2019–,tt10810430,"3,368",8.0/10,,
"Ryan Reynolds, Paul Giamatti, Michael Peña, Samuel L. Jackson",1 win & 13 nominations.,USA,David Soren,"Animation, Adventure, Comedy, Family, Sci-Fi, Sport",English,58,A freak accident might just help an everyday garden snail achieve his biggest dream: winning the Indy 500.,https://m.media-amazon.com/images/M/MV5BMTA4NTgwMjM5MzheQTJeQWpwZ15BbWU3MDg2ODA1ODk@._V1_SX300.jpg,PG,17 Jul 2013,True,96 min,Turbo,movie,"Darren Lemke (screenplay by), Robert Siegel (screenplay by), David Soren (screenplay by), David Soren (story by)",2013,tt1860353,"82,355",6.4/10,66%,58/100
"Hiroyuki Sanada, Ryan Reynolds, Rebecca Ferguson, Jake Gyllenhaal",7 nominations.,"UK, USA",Daniel Espinosa,"Horror, Sci-Fi, Thriller","English, Japanese, Vietnamese",54,A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.,https://m.media-amazon.com/images/M/MV5BMzAwMmQxNTctYjVmYi00MDdlLWEzMWUtOTE5NTRiNDhhNjI2L2ltYWdlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,R,24 Mar 2017,True,104 min,Life,movie,"Rhett Reese, Paul Wernick",2017,tt5442430,"204,070",6.6/10,67%,54/100
Logan Gutierrez-Mock,N/A,USA,Amy Andre,Short,English,N/A,"Exploring the reflections a mixed-race transgender man had as he traveled to his ancestral homeland, Mexico.",N/A,N/A,18 Jun 2006,True,8 min,On My Skin,movie,N/A,2006,tt0831859,N/A,,,
"Jan Rader, Patricia Keller, Necia Freeman, Najah Menapace",Nominated for 1 Oscar. Another 1 win & 2 nominations.,USA,Elaine McMillion Sheldon,"Documentary, Short",English,N/A,Three women fight to break the cycle one life at a time.,https://m.media-amazon.com/images/M/MV5BNWY5MjFmZmUtYzNiMS00Yzk2LTliNGEtN2NhYTI0N2FmMmZlXkEyXkFqcGdeQXVyNTgxODQ2NTE@._V1_SX300.jpg,N/A,12 Sep 2017,True,39 min,Heroin(e),movie,N/A,2017,tt7389366,"2,134",6.8/10,,
Jeff Dunham,N/A,USA,"Michael Simon, Matthew McNeil",Comedy,English,N/A,"Welcome to Ireland, where Ventriloquist Jeff Dunham is back with his gang of dolls, revealing some relative secrets. The Netflix special stars Walter (Jeff Dunham), Bubba J (Jeff Dunham), ...",https://m.media-amazon.com/images/M/MV5BNDZlYWNlN2UtMGVjYi00NWExLWEwMWUtYzMzMzRiNWZkNzUxXkEyXkFqcGdeQXVyNjc1Mzg0OA@@._V1_SX300.jpg,TV-MA,12 Sep 2017,True,70 min,Jeff Dunham: Relative Disaster,movie,N/A,2017,tt7364706,"1,095",6.4/10,,
Daniel Sloss,N/A,USA,N/A,Comedy,N/A,N/A,"The dark mind of Daniel Sloss is back, and he's ready to find the funny in some very taboo topics, from the deeply personal to the highly irreverent.",https://m.media-amazon.com/images/M/MV5BYzk2Zjg2ZTYtZjcwNi00MDRiLWFkYWEtMTE3ZGNkYWQwMjY2XkEyXkFqcGdeQXVyNDU2NTU3NzY@._V1_SX300.jpg,TV-MA,11 Sep 2018,True,118 min,Daniel Sloss: Live Shows,series,N/A,2018,tt8858472,"2,209",8.6/10,,
"Jacob Derwig, Barry Atsma, Fockeline Ouwerkerk, Pierre Bokma",7 wins & 9 nominations.,"Netherlands, Belgium",Joram Lürsen,"Biography, Drama, War",Dutch,N/A,"In Nazi-occupied Amsterdam, banker brothers Walraven and Gijs van Hall face their greatest challenge yet when they decide to help fund the Dutch resistance.",https://m.media-amazon.com/images/M/MV5BZGYzYTExOWEtMDlhZi00ZGVkLTg0NWYtZDZlN2UzZWZjYTE4XkEyXkFqcGdeQXVyMjI5NzU3Nzc@._V1_SX300.jpg,TV-MA,08 Mar 2018,True,123 min,The Resistance Banker,movie,"Marieke van der Pol, Thomas van der Ree, Matthijs Bockting, Michael Leendertse, Joost Reijmers, Pieter van den Berg",2018,tt4610378,"7,253",6.9/10,,
"Julianne Moore, Christopher Kovaleski, Matthew Pleszewicz, Anthony Edwards",7 nominations.,USA,Joseph Ruben,"Drama, Mystery, Sci-Fi, Thriller",English,43,"After being told that their children never existed, a man and woman soon discover there is a much bigger enemy at work.",https://m.media-amazon.com/images/M/MV5BMjAwMjIyNjU4NV5BMl5BanBnXkFtZTcwNjE3NjYyMQ@@._V1_SX300.jpg,PG-13,24 Sep 2004,True,91 min,The Forgotten,movie,Gerald Di Pego,2004,tt0356618,"63,499",5.8/10,32%,43/100
Bill Burr,N/A,"USA, UK",Mike Binder,Comedy,English,N/A,"Bill Burr unloads on outrage culture, male feminism, cultural appropriation, robot sex and more in a blistering stand-up special shot in London.",https://m.media-amazon.com/images/M/MV5BODQyNTYzNjctMTM5Zi00NmE4LTg5ODAtYTdkNzE3NTdjODFkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,TV-MA,10 Sep 2019,True,67 min,Bill Burr: Paper Tiger,movie,Bill Burr,2019,tt10847306,"8,098",8.2/10,86%,
"Julia Roberts, I. Gusti Ayu Puspawati, Hadi Subiyanto, Billy Crudup",2 wins & 2 nominations.,USA,Ryan Murphy,"Biography, Drama, Romance","English, Italian, Portuguese",50,"A married woman realizes how unhappy her marriage really is, and that her life needs to go in a different direction. After a painful divorce, she takes off on a round-the-world journey to ""find herself"".",https://m.media-amazon.com/images/M/MV5BMTY5NDkyNzkyM15BMl5BanBnXkFtZTcwNDQyNDk0Mw@@._V1_SX300.jpg,PG-13,13 Aug 2010,True,133 min,Eat Pray Love,movie,"Ryan Murphy (screenplay), Jennifer Salt (screenplay), Elizabeth Gilbert (book)",2010,tt0879870,"86,875",5.8/10,36%,50/100
"Sophie Vavasseur, Niall Beagan, Hugh McDonagh, Pierce Brosnan",4 wins & 7 nominations.,"USA, Germany, Ireland, UK, Netherlands",Bruce Beresford,Drama,English,55,"Desmond's wife leaves him and their 3 kids after Christmas 1953. Unemployed in Dublin, the authorities place the kids in orphanages. Employed again, Desmond tries to get his kids back.",https://m.media-amazon.com/images/M/MV5BMTYwNjUwNTkxOF5BMl5BanBnXkFtZTYwMzA1MDg5._V1_SX300.jpg,PG,25 Dec 2002,True,94 min,Evelyn,movie,Paul Pender,2002,tt0298856,"6,243",7.0/10,64%,55/100
N/A,N/A,UK,"Mark Franchetti, Andrew Meier",Documentary,English,N/A,"OUR GODFATHER is a feature-length documentary about Tommaso Buscetta, the first high-ranking Italian mafia boss ever to turn against Cosa Nostra. Buscetta helped convict more than 400 ...",https://m.media-amazon.com/images/M/MV5BZWVhMjg3YzMtMDNkMS00MTAwLWEzMTUtM2RmZThiZjM0MGE2XkEyXkFqcGdeQXVyMzQwNDk0OTM@._V1_SX300.jpg,N/A,10 Sep 2019,True,92 min,Our Godfather,movie,"Mark Franchetti, Andrew Meier",2019,tt10095336,864,6.8/10,50%,
"Hana Kimura, Kaori Watanabe, Shôhei Matsuzaki, Kenji Yoshihara",N/A,Japan,N/A,Reality-TV,Japanese,N/A,"Six strangers share a fabulous house in Tokyo, looking for love while living under the same roof. With no script what happens next is up to them.",https://m.media-amazon.com/images/M/MV5BNzA1OGJlNjYtOGNhZC00ODA5LWI4MTEtOGEzODlmZTYwMTQ0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,N/A,14 May 2019,True,N/A,Terrace House: Tokyo 2019-2020,series,N/A,2019–,tt10686814,489,7.5/10,,
"Rusty Joiner, Lucy Loken, Laura Bilgeri, Jana Lee Hamblin",N/A,USA,Damián Romay,"Drama, Thriller",English,N/A,"Riley struggles to meet friends after transferring to a new high school where her father is an English teacher. When she meets Kyla, a fellow loner, they become close friends until Riley learns that Kyla is obsessed with her father.",https://m.media-amazon.com/images/M/MV5BZTI1YTA5ZTMtZjZkYy00ZWVkLTgwMTYtNWM2ZDQ5M2M4MDk5XkEyXkFqcGdeQXVyNTYxMjExMzY@._V1_SX300.jpg,TV-14,12 Jun 2018,True,90 min,"My Teacher, My Obsession",movie,Patrick Robert Young,2018,tt6997574,"1,818",4.4/10,25%,
"Matthew Gray Gubler, AnnaLynne McCord, Alisha Boe, Sheila Vand",3 wins & 1 nomination.,USA,Trent Haaga,"Comedy, Crime, Romance, Thriller",English,56,"A punk-rock after hours about femininity, masculinity and the theft of $68,000.",https://m.media-amazon.com/images/M/MV5BYWYyNTFkZTYtYjY2ZC00MmFmLWE5ZjEtOWRmOGE2ZWFmNDkzXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,R,04 Aug 2017,True,93 min,68 Kill,movie,"Trent Haaga (screenplay), Bryan Smith (novel)",2017,tt5189894,"4,751",6.0/10,70%,56/100
"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage",8 wins & 13 nominations.,"USA, Canada",Mary Harron,"Comedy, Crime, Drama","English, Spanish, Cantonese",64,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",https://m.media-amazon.com/images/M/MV5BZTM2ZGJmNjQtN2UyOS00NjcxLWFjMDktMDE2NzMyNTZlZTBiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,R,14 Apr 2000,True,101 min,American Psycho,movie,"Bret Easton Ellis (novel), Mary Harron (screenplay), Guinevere Turner (screenplay)",2000,tt0144084,"476,964",7.6/10,69%,64/100
"Pierce Brosnan, Linda Hamilton, Jamie Renée Smith, Jeremy Foley",4 wins & 1 nomination.,USA,Roger Donaldson,"Action, Adventure, Thriller",English,43,"A vulcanologist arrives at a countryside town recently named the second most desirable place to live in America, and discovers that the long dormant volcano, Dante's Peak, may wake up at any moment.",https://m.media-amazon.com/images/M/MV5BMTA1MWM3Y2MtM2YyMS00ZGI1LTgwMGQtMzczYjA5ZThmZTQ1XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,PG-13,07 Feb 1997,True,108 min,Dante's Peak,movie,Leslie Bohem,1997,tt0118928,"80,267",5.9/10,26%,43/100
"Nadezhda Markina, Andrey Smirnov, Elena Lyadova, Aleksey Rozin",23 wins & 23 nominations.,Russia,Andrey Zvyagintsev,"Crime, Drama, Thriller",Russian,87,"When a sudden illness and an unexpected reunion threaten dutiful housewife Elena's potential inheritance, she must hatch a desperate plan ...",https://m.media-amazon.com/images/M/MV5BYWIzZWRmOGMtNDhhYS00ZTFkLTlmYjEtYmNjMTI2M2IwYjU4XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,Not Rated,29 Sep 2011,True,109 min,Elena,movie,"Oleg Negin (screenplay), Andrey Zvyagintsev",2011,tt1925421,"12,799",7.3/10,94%,87/100
"Bruce Willis, Hayden Christensen, Ty Shelton, Megan Leonard",N/A,"UK, Canada, USA",Steven C. Miller,"Action, Thriller",English,39,A Wall Street broker is forced to evade a police chief investigating a bank robbery as he attempts to recover the stolen money in exchange for his son's life.,https://m.media-amazon.com/images/M/MV5BNDE1YjU5YzYtYTdmYi00NjkzLThiZTItMTQ5NzMxZTNiMzdiXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,R,21 Jul 2017,True,97 min,First Kill,movie,Nick Gordon (screenplay by),2017,tt5884234,"9,971",5.0/10,16%,39/100
Ralph Eggleston,Won 1 Oscar. Another 5 wins & 2 nominations.,USA,Ralph Eggleston,"Animation, Short, Comedy, Family",None,N/A,A group of snooty birds roosting on a telephone wire get their just deserts when a goofy bird drops in.,https://m.media-amazon.com/images/M/MV5BZjBhYzgyY2YtMTBhZS00NWIwLWIyYTgtMzhhYmFhZDNkMTQxXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,G,02 Nov 2001,True,3 min,For the Birds,movie,Ralph Eggleston,2000,tt0248808,"28,596",8.0/10,,
"John Cusack, Myleene Klass, Robin Howard, Matt McKenna",1 nomination.,"USA, France",Tony Leondis,"Animation, Comedy, Family, Fantasy",English,40,"Animated fable about a cliché hunchbacked evil scientist's assistant who aspires to become a scientist himself, much to the displeasure of the rest of the evil science community.",https://m.media-amazon.com/images/M/MV5BNDYwNjM1ODkxOV5BMl5BanBnXkFtZTcwMTQyMzI5MQ@@._V1_SX300.jpg,PG,19 Sep 2008,True,87 min,Igor,movie,"Chris McKenna, Tony Leondis (additional screenplay material), John Hoffman (additional screenplay material), Dimitri Toscas (additional screenplay material)",2008,tt0465502,"22,118",6.0/10,39%,40/100
"Ryan Reynolds, Amy Smart, Anna Faris, Chris Klein",3 nominations.,"Germany, USA, Canada",Roger Kumble,"Comedy, Romance",English,47,"While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with -- a woman whose rejection of him turned him into a ferocious womanizer.",https://m.media-amazon.com/images/M/MV5BMjA0Mzg2NjUzMl5BMl5BanBnXkFtZTcwNDg2ODUzMQ@@._V1_SX300.jpg,PG-13,23 Nov 2005,True,96 min,Just Friends,movie,Adam 'Tex' Davis,2005,tt0433400,"104,338",6.2/10,43%,47/100
